CoflowId,ArrivalTime,FlowNum,MapperId,ReducerId,PacketArrival,PacketSize,PacketMean,PacketVariance,Src,Dst
321,1689673,1,22,3,1600514578.602172,736,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514578.724092,738,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514578.862992,745,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514578.978743,737,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514579.099898,739,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514579.219355,746,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514579.338768,741,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514579.475081,737,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514579.622739,741,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514579.78427,738,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514579.932418,734,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.070762,735,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.206868,735,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.342761,745,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.474963,740,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.608257,743,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.719952,740,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.847081,738,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514580.994787,735,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514581.134764,735,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514581.275495,741,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514581.434852,746,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514581.550773,737,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514581.686774,741,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514581.806764,735,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514581.920039,741,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.04392,740,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.162771,739,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.286767,734,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.435241,739,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.563266,744,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.682785,746,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.81879,733,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514582.942829,739,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514583.086979,739,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514583.215423,741,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514583.350662,740,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514583.4828,738,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
321,1689673,1,22,3,1600514583.620466,737,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
322,1694294,1,43,147,1600514583.662707,683,689,699598738,00:00:00:00:00:05,00:00:00:00:00:0c
321,1689673,1,22,3,1600514583.756243,743,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
322,1694294,1,43,147,1600514583.785665,689,689,699598738,00:00:00:00:00:05,00:00:00:00:00:0c
321,1689673,1,22,3,1600514583.875435,737,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
322,1694294,1,43,147,1600514583.91141,692,689,699598738,00:00:00:00:00:05,00:00:00:00:00:0c
321,1689673,1,22,3,1600514584.026806,737,740,336580152,00:00:00:00:00:08,00:00:00:00:00:0c
