Label,S_time,M_size,V_size,M_int,V_int
4,1597112759.894857,117.0,0.0,0.0,0.0
4,1597111131.409403,116.0,0.0,0.0,0.0
4,1597116489.956631,119.0,0.0,0.0,0.0
4,1597113573.772299,117.0,0.0,0.0,0.0
4,1597111149.764306,116.0,0.0,0.0,0.0
4,1597111086.985237,119.0,0.0,0.0,0.0
4,1597111084.60335,119.0,0.0,0.0,0.0
4,1597116470.276784,118.0,0.0,0.0,0.0
4,1597113542.34509,119.0,0.0,0.0,0.0
4,1597111090.066816,119.0,0.0,0.0,0.0
4,1597111152.49592,117.0,0.0,0.0,0.0
4,1597111125.376156,117.0,0.0,0.0,0.0
4,1597115745.831673,117.0,0.0,0.0,0.0
4,1597112105.207929,119.0,0.0,0.0,0.0
4,1597111108.367851,119.0,0.0,0.0,0.0
4,1597115702.962233,118.0,0.0,0.0,0.0
4,1597112786.820308,117.0,0.0,0.0,0.0
4,1597111084.504677,119.0,0.0,0.0,0.0
4,1597112942.543351,116.0,0.0,0.0,0.0
4,1597111163.944832,115.0,0.0,0.0,0.0
4,1597113014.24711,121.0,0.0,0.0,0.0
4,1597111110.402976,118.0,0.0,0.0,0.0
4,1597111114.479474,115.0,0.0,0.0,0.0
4,1597111068.0288,116.0,0.0,0.0,0.0
4,1597111116.965645,116.0,0.0,0.0,0.0
4,1597113538.531566,116.0,0.0,0.0,0.0
4,1597113502.847804,118.0,0.0,0.0,0.0
4,1597111097.26154,116.0,0.0,0.0,0.0
4,1597113513.072006,116.0,0.0,0.0,0.0
4,1597112791.530468,119.0,0.0,0.0,0.0
4,1597115676.935425,116.0,0.0,0.0,0.0
4,1597111069.838909,119.0,0.0,0.0,0.0
4,1597112210.547117,116.0,0.0,0.0,0.0
4,1597111074.224172,114.0,0.0,0.0,0.0
4,1597111120.827325,119.0,0.0,0.0,0.0
4,1597111126.388678,121.0,0.0,0.0,0.0
4,1597111112.185495,117.0,0.0,0.0,0.0
4,1597116504.592595,117.0,0.0,0.0,0.0
4,1597112904.099791,117.0,0.0,0.0,0.0
4,1597111071.675532,118.0,0.0,0.0,0.0
4,1597116573.942274,117.0,0.0,0.0,0.0
4,1597111157.318505,119.0,0.0,0.0,0.0
4,1597113588.701132,119.0,0.0,0.0,0.0
4,1597112754.801218,118.0,0.0,0.0,0.0
4,1597116534.047117,116.0,0.0,0.0,0.0
4,1597113592.409565,117.0,0.0,0.0,0.0
4,1597111089.791476,117.0,0.0,0.0,0.0
4,1597111116.710826,118.0,0.0,0.0,0.0
4,1597111078.767492,112.0,0.0,0.0,0.0
4,1597111087.174949,114.0,0.0,0.0,0.0
4,1597113637.531604,116.0,0.0,0.0,0.0
4,1597113617.967805,112.0,0.0,0.0,0.0
4,1597111120.601785,113.0,0.0,0.0,0.0
4,1597111082.283456,115.0,0.0,0.0,0.0
4,1597111156.692471,117.0,0.0,0.0,0.0
4,1597113524.269694,120.0,0.0,0.0,0.0
4,1597111086.615537,118.0,0.0,0.0,0.0
4,1597111141.385106,119.0,0.0,0.0,0.0
4,1597111947.484728,115.0,0.0,0.0,0.0
4,1597111095.697986,118.0,0.0,0.0,0.0
4,1597111087.303478,117.0,0.0,0.0,0.0
4,1597113520.392521,118.0,0.0,0.0,0.0
4,1597112076.269626,122.0,0.0,0.0,0.0
4,1597111068.048863,120.0,0.0,0.0,0.0
4,1597111106.183208,116.0,0.0,0.0,0.0
4,1597111076.979007,119.0,0.0,0.0,0.0
4,1597113610.071351,118.0,0.0,0.0,0.0
4,1597111996.142275,119.0,0.0,0.0,0.0
4,1597115684.035818,119.0,0.0,0.0,0.0
4,1597111127.680797,115.0,0.0,0.0,0.0
4,1597111121.429343,121.0,0.0,0.0,0.0
4,1597111126.792542,114.0,0.0,0.0,0.0
4,1597112992.531629,121.0,0.0,0.0,0.0
4,1597111070.78194,116.0,0.0,0.0,0.0
4,1597113050.957055,120.0,0.0,0.0,0.0
4,1597111157.886081,114.0,0.0,0.0,0.0
4,1597113577.173526,118.0,0.0,0.0,0.0
4,1597111069.779069,116.0,0.0,0.0,0.0
4,1597111086.415724,115.0,0.0,0.0,0.0
4,1597116560.059632,118.0,0.0,0.0,0.0
4,1597115691.707576,117.0,0.0,0.0,0.0
4,1597111092.648475,118.0,0.0,0.0,0.0
4,1597112020.748454,120.0,0.0,0.0,0.0
4,1597111072.891781,116.0,0.0,0.0,0.0
4,1597111079.042127,115.0,0.0,0.0,0.0
4,1597112177.038591,119.0,0.0,0.0,0.0
4,1597111953.868217,119.0,0.0,0.0,0.0
4,1597111120.690918,118.0,0.0,0.0,0.0
4,1597115695.363201,117.0,0.0,0.0,0.0
4,1597113562.945853,117.0,0.0,0.0,0.0
4,1597111108.54481,119.0,0.0,0.0,0.0
4,1597112957.102672,117.0,0.0,0.0,0.0
4,1597111073.039651,122.0,0.0,0.0,0.0
4,1597111084.484233,118.0,0.0,0.0,0.0
4,1597112009.045469,115.0,0.0,0.0,0.0
4,1597111114.598956,121.0,0.0,0.0,0.0
4,1597111082.894883,118.0,0.0,0.0,0.0
4,1597112928.397885,118.0,0.0,0.0,0.0
4,1597111145.457767,116.0,0.0,0.0,0.0
4,1597113570.436036,116.0,0.0,0.0,0.0
4,1597112933.08879,118.0,0.0,0.0,0.0
4,1597111116.647555,114.0,0.0,0.0,0.0
4,1597111092.530959,116.0,0.0,0.0,0.0
4,1597112100.722347,119.0,0.0,0.0,0.0
4,1597111086.371995,118.0,0.0,0.0,0.0
4,1597111934.337744,118.0,0.0,0.0,0.0
4,1597112854.770077,117.0,0.0,0.0,0.0
4,1597111146.489548,114.0,0.0,0.0,0.0
4,1597111079.882895,116.0,0.0,0.0,0.0
4,1597111125.964297,118.0,0.0,0.0,0.0
4,1597111125.124259,117.0,0.0,0.0,0.0
4,1597111082.390558,115.0,0.0,0.0,0.0
4,1597111074.422886,116.0,0.0,0.0,0.0
4,1597111911.439593,121.0,0.0,0.0,0.0
4,1597111144.377602,116.0,0.0,0.0,0.0
4,1597112156.741863,118.0,0.0,0.0,0.0
4,1597111078.49892,118.0,0.0,0.0,0.0
4,1597111068.041067,117.0,0.0,0.0,0.0
4,1597112199.598,120.0,0.0,0.0,0.0
4,1597111080.314727,118.0,0.0,0.0,0.0
4,1597116630.719446,117.0,0.0,0.0,0.0
4,1597112799.479423,117.0,0.0,0.0,0.0
4,1597116625.248173,117.0,0.0,0.0,0.0
4,1597111115.150902,115.0,0.0,0.0,0.0
4,1597116596.787908,122.0,0.0,0.0,0.0
4,1597111079.219666,118.0,0.0,0.0,0.0
4,1597111137.846459,117.0,0.0,0.0,0.0
4,1597111085.573153,118.0,0.0,0.0,0.0
4,1597111147.06062,116.0,0.0,0.0,0.0
4,1597111079.188796,118.0,0.0,0.0,0.0
4,1597112965.830581,119.0,0.0,0.0,0.0
4,1597111078.349445,119.0,0.0,0.0,0.0
4,1597111107.60287,118.0,0.0,0.0,0.0
4,1597111123.880499,120.0,0.0,0.0,0.0
4,1597113046.587875,114.0,0.0,0.0,0.0
4,1597111075.785706,117.0,0.0,0.0,0.0
4,1597111080.055121,122.0,0.0,0.0,0.0
4,1597111082.561405,118.0,0.0,0.0,0.0
4,1597111134.154418,117.0,0.0,0.0,0.0
4,1597111070.124247,114.0,0.0,0.0,0.0
4,1597112864.203471,119.0,0.0,0.0,0.0
4,1597111106.059884,116.0,0.0,0.0,0.0
4,1597116584.204053,118.0,0.0,0.0,0.0
4,1597116539.647217,116.0,0.0,0.0,0.0
4,1597116494.812171,119.0,0.0,0.0,0.0
4,1597112898.949901,117.0,0.0,0.0,0.0
4,1597115726.664677,117.0,0.0,0.0,0.0
4,1597111084.467004,116.0,0.0,0.0,0.0
4,1597111117.892112,118.0,0.0,0.0,0.0
4,1597112828.78912,118.0,0.0,0.0,0.0
4,1597112819.104764,120.0,0.0,0.0,0.0
4,1597116564.96274,114.0,0.0,0.0,0.0
4,1597111092.260433,117.0,0.0,0.0,0.0
4,1597111091.145649,117.0,0.0,0.0,0.0
4,1597111075.813591,118.0,0.0,0.0,0.0
4,1597111109.463963,116.0,0.0,0.0,0.0
4,1597111084.605006,117.0,0.0,0.0,0.0
4,1597113009.383704,119.0,0.0,0.0,0.0
4,1597113644.153496,114.0,0.0,0.0,0.0
4,1597111067.897872,122.0,0.0,0.0,0.0
4,1597111986.0694,116.0,0.0,0.0,0.0
4,1597112850.275987,118.0,0.0,0.0,0.0
4,1597115713.49961,119.0,0.0,0.0,0.0
4,1597116550.590231,117.0,0.0,0.0,0.0
4,1597111123.708015,115.0,0.0,0.0,0.0
4,1597111966.876917,120.0,0.0,0.0,0.0
4,1597116499.719807,117.0,0.0,0.0,0.0
4,1597112118.959783,120.0,0.0,0.0,0.0
4,1597113028.46305,120.0,0.0,0.0,0.0
4,1597111075.474984,119.0,0.0,0.0,0.0
4,1597111071.768782,116.0,0.0,0.0,0.0
4,1597112126.092988,114.0,0.0,0.0,0.0
4,1597112869.2326,115.0,0.0,0.0,0.0
4,1597111071.438927,117.0,0.0,0.0,0.0
4,1597112044.84833,118.0,0.0,0.0,0.0
4,1597112983.397387,117.0,0.0,0.0,0.0
4,1597111089.878779,119.0,0.0,0.0,0.0
4,1597112890.726713,116.0,0.0,0.0,0.0
4,1597111905.645778,117.0,0.0,0.0,0.0
4,1597111109.535385,115.0,0.0,0.0,0.0
4,1597116640.367804,116.0,0.0,0.0,0.0
4,1597112970.680471,117.0,0.0,0.0,0.0
4,1597111076.794765,119.0,0.0,0.0,0.0
4,1597111084.6038,119.0,0.0,0.0,0.0
4,1597111082.957884,117.0,0.0,0.0,0.0
4,1597111159.77661,115.0,0.0,0.0,0.0
4,1597111980.334779,121.0,0.0,0.0,0.0
4,1597111131.42968,118.0,0.0,0.0,0.0
4,1597111109.698982,118.0,0.0,0.0,0.0
4,1597111086.290109,117.0,0.0,0.0,0.0
4,1597112038.537307,119.0,0.0,0.0,0.0
4,1597113517.260946,117.0,0.0,0.0,0.0
4,1597116460.517343,116.0,0.0,0.0,0.0
4,1597112063.560695,117.0,0.0,0.0,0.0
4,1597111070.359073,117.0,0.0,0.0,0.0
4,1597111072.727496,113.0,0.0,0.0,0.0
4,1597112996.363445,117.0,0.0,0.0,0.0
4,1597111070.138812,122.0,0.0,0.0,0.0
4,1597111123.858691,121.0,0.0,0.0,0.0
4,1597116483.713208,118.0,0.0,0.0,0.0
4,1597111896.811223,117.0,0.0,0.0,0.0
4,1597111085.458895,119.0,0.0,0.0,0.0
4,1597111074.257946,121.0,0.0,0.0,0.0
4,1597116474.99098,117.0,0.0,0.0,0.0
4,1597111126.920778,119.0,0.0,0.0,0.0
4,1597112003.734873,116.0,0.0,0.0,0.0
4,1597111108.391735,120.0,0.0,0.0,0.0
4,1597112811.891699,117.0,0.0,0.0,0.0
4,1597112170.81938,121.0,0.0,0.0,0.0
4,1597116650.93439,116.0,0.0,0.0,0.0
4,1597111121.724182,119.0,0.0,0.0,0.0
4,1597111117.015982,119.0,0.0,0.0,0.0
4,1597111070.718689,115.0,0.0,0.0,0.0
4,1597115730.254826,118.0,0.0,0.0,0.0
